home_team,away_team,home_goals,away_goals,date,league_slug
Bayer Leverkusen,Borussia Mönchengladbach,0,0,2024-01-27,statsbomb-1.-bundesliga
RB Leipzig,Bayer Leverkusen,2,3,2024-01-20,statsbomb-1.-bundesliga
Augsburg,Bayer Leverkusen,0,1,2024-01-13,statsbomb-1.-bundesliga
Bayer Leverkusen,Bochum,4,0,2023-12-20,statsbomb-1.-bundesliga
VfB Stuttgart,Bayer Leverkusen,1,1,2023-12-10,statsbomb-1.-bundesliga
Bayer Leverkusen,Borussia Dortmund,1,1,2023-12-03,statsbomb-1.-bundesliga
Werder Bremen,Bayer Leverkusen,0,3,2023-11-25,statsbomb-1.-bundesliga
Wolfsburg,Bayer Leverkusen,1,2,2023-10-21,statsbomb-1.-bundesliga
FSV Mainz 05,Bayer Leverkusen,0,3,2023-09-30,statsbomb-1.-bundesliga
Bayer Leverkusen,Darmstadt 98,5,1,2023-09-02,statsbomb-1.-bundesliga
Borussia Mönchengladbach,Bayer Leverkusen,0,3,2023-08-26,statsbomb-1.-bundesliga
Bayer Leverkusen,RB Leipzig,3,2,2023-08-19,statsbomb-1.-bundesliga
Hoffenheim,Schalke 04,1,4,2016-05-14,statsbomb-1.-bundesliga
